UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,no_rand
4949,M19808,M,303.8,312.7,1500,41.7,125,0,0,0,0,0,0,1153
4950,M19809,M,303.8,312.7,1555,33.4,128,0,0,0,0,0,0,131
4951,M19810,M,303.8,312.7,1919,20.2,131,0,0,0,0,0,0,3915
4952,L52131,L,303.8,312.7,1596,36.6,134,0,0,0,0,0,0,4670
4953,M19812,M,303.8,312.7,1374,53.6,136,0,0,0,0,0,0,4244
4954,L52133,L,303.7,312.5,1670,26.1,139,0,0,0,0,0,0,6880
4955,L52134,L,303.7,312.6,1702,29.1,141,0,0,0,0,0,0,3155
4956,M19815,M,303.8,312.5,1366,45.1,143,0,0,0,0,0,0,4179
4957,M19816,M,303.8,312.5,2344,15.2,146,0,0,0,0,0,0,8063
4958,M19817,M,303.8,312.6,1768,23.9,149,0,0,0,0,0,0,8588
4959,L52138,L,303.8,312.5,1523,47,152,0,0,0,0,0,0,8064
4960,L52139,L,303.8,312.6,1735,25.9,154,0,0,0,0,0,0,8583
4961,L52140,L,303.9,312.7,1339,62.3,156,0,0,0,0,0,0,456
4962,L52141,L,303.9,312.7,1800,24.3,158,0,0,0,0,0,0,8288
4963,M19822,M,304,312.7,1456,51.2,160,0,0,0,0,0,0,6211
4964,L52143,L,303.9,312.7,1789,24.4,163,0,0,0,0,0,0,3298
4965,L52144,L,303.9,312.7,1602,33.9,165,0,0,0,0,0,0,3543
4966,M19825,M,303.8,312.7,1364,49.3,167,0,0,0,0,0,0,261
4967,L52146,L,303.8,312.6,1793,28.1,170,0,0,0,0,0,0,1057
4968,L52147,L,303.9,312.6,1426,53.4,172,0,0,0,0,0,0,2440
4969,M19828,M,303.9,312.7,1485,43.3,174,0,0,0,0,0,0,1992
4970,L52149,L,303.9,312.7,1528,38.4,177,0,0,0,0,0,0,1323
4971,L52150,L,303.8,312.6,1565,36,179,0,0,0,0,0,0,7927
4972,L52151,L,303.8,312.7,1838,27.8,181,0,0,0,0,0,0,1263
4973,H34386,H,303.8,312.6,1811,24.9,183,0,0,0,0,0,0,7065
4974,L52153,L,303.8,312.7,1461,38.2,188,0,0,0,0,0,0,7227
4975,L52154,L,303.8,312.7,1414,41.7,190,0,0,0,0,0,0,7276
4976,L52155,L,303.7,312.7,1426,45.5,192,0,0,0,0,0,0,8316
4977,L52156,L,303.7,312.7,1359,56.8,194,1,0,0,0,1,0,2894
4978,L52157,L,303.7,312.7,1540,44.8,196,0,0,0,0,0,0,7455
4979,L52158,L,303.6,312.7,1429,47.7,198,0,0,0,0,0,0,5261
4980,M19839,M,303.7,312.7,1612,36.3,200,0,0,0,0,0,0,3187
4981,M19840,M,303.7,312.8,1685,31.8,203,0,0,0,0,0,0,675
4982,M19841,M,303.7,312.8,1558,37.7,206,0,0,0,0,0,0,9064
4983,L52162,L,303.7,313,1811,24.3,209,0,0,0,0,0,0,6211
4984,L52163,L,303.8,313.1,1869,25.8,211,0,0,0,0,0,0,6729
4985,L52164,L,303.8,313.1,1256,58.7,213,1,0,0,0,1,0,3651
4986,M19845,M,303.8,313,1789,23.5,215,0,0,0,0,0,0,5427
4987,L52166,L,303.7,312.9,1502,40.5,0,0,0,0,0,0,0,3618
4988,M19847,M,303.7,313,1303,54.4,2,0,0,0,0,0,0,6990
4989,L52168,L,303.8,313.1,2497,13,5,1,0,0,1,0,0,8745
4990,L52169,L,303.9,313.2,1499,37.4,7,0,0,0,0,0,0,4914
4991,L52170,L,303.9,313.2,1393,46.5,9,0,0,0,0,0,0,4234
4992,M19851,M,303.9,313,1475,41,11,0,0,0,0,0,0,9308
4993,L52172,L,303.8,312.9,1573,34.6,14,0,0,0,0,0,0,6781
4994,L52173,L,303.8,312.9,1819,23.7,16,0,0,0,0,0,0,1851
4995,M19854,M,303.5,312.6,1642,29.4,18,0,0,0,0,0,0,7657
4996,L52175,L,303.6,312.6,1540,39.8,21,0,0,0,0,0,0,5984
4997,M19856,M,303.6,312.8,1400,43.2,23,0,0,0,0,0,0,5554
4998,M19857,M,303.6,312.8,2659,11.4,26,1,0,0,1,0,0,5966
4999,M19858,M,303.6,312.8,1825,25.2,29,0,0,0,0,0,0,4921
5000,M19859,M,303.7,312.9,1532,41.3,32,0,0,0,0,0,0,5319
5001,L52180,L,303.7,312.8,1832,23.6,35,0,0,0,0,0,0,1254
5002,M19861,M,303.6,312.7,2174,17.6,37,0,0,0,0,0,0,6728
5003,L52182,L,303.7,312.8,1627,31.7,40,0,0,0,0,0,0,5067
5004,L52183,L,303.7,312.8,1437,51.3,42,0,0,0,0,0,0,3091
5005,L52184,L,303.7,312.8,1364,46.3,44,0,0,0,0,0,0,411
5006,M19865,M,303.7,312.9,1444,52.7,46,0,0,0,0,0,0,7218
5007,M19866,M,303.7,312.8,1366,47.3,49,0,0,0,0,0,0,8528
5008,L52187,L,303.8,312.9,1442,48.3,52,0,0,0,0,0,0,3482
5009,H34422,H,303.7,312.8,1488,42.8,54,0,0,0,0,0,0,5153
5010,L52189,L,303.7,312.8,1523,40.7,59,0,0,0,0,0,0,948
5011,L52190,L,303.7,312.8,1543,38.3,61,0,0,0,0,0,0,6065
5012,M19871,M,303.7,312.8,1634,33.8,63,0,0,0,0,0,0,6238
5013,M19872,M,303.8,312.9,1815,27.8,66,0,0,0,0,0,0,1664
5014,M19873,M,303.8,312.9,1594,35.2,69,0,0,0,0,0,0,9281
5015,L52194,L,303.8,313,1452,38.6,72,0,0,0,0,0,0,5530
5016,L52195,L,303.9,313,1759,28.4,74,0,0,0,0,0,0,9038
5017,L52196,L,303.9,313,1408,47.5,76,0,0,0,0,0,0,1147
5018,L52197,L,303.9,313,1483,45,78,0,0,0,0,0,0,844
5019,M19878,M,303.9,313,1620,36.6,80,0,0,0,0,0,0,5540
5020,M19879,M,304,313.1,1466,39.5,83,0,0,0,0,0,0,1032
5021,L52200,L,304.1,313.1,1556,36.3,86,0,0,0,0,0,0,3509
5022,L52201,L,304,313,1350,61.1,88,0,0,0,0,0,0,2098
5023,L52202,L,304,313.1,1404,47.1,90,0,0,0,0,0,0,8733
5024,M19883,M,304,313,1575,34.5,92,0,0,0,0,0,0,2812
5025,L52204,L,303.9,313.1,1639,29,95,0,0,0,0,0,0,409
5026,M19885,M,303.9,313.1,1473,42.8,97,0,0,0,0,0,0,355
5027,L52206,L,303.9,313.2,1481,40,100,0,0,0,0,0,0,5101
5028,L52207,L,304,313.3,1294,54.6,102,0,0,0,0,0,0,9272
5029,M19888,M,303.9,313.2,1630,29.3,104,0,0,0,0,0,0,1605
5030,M19889,M,303.9,313.2,1624,39.8,107,0,0,0,0,0,0,5085
5031,M19890,M,303.9,313.1,1437,48.3,110,0,0,0,0,0,0,2116
5032,M19891,M,303.8,313,1514,45,113,0,0,0,0,0,0,5392
5033,M19892,M,304,313.1,1694,31.4,116,0,0,0,0,0,0,820
5034,L52213,L,304,313.1,1564,50.9,119,0,0,0,0,0,0,9933
5035,M19894,M,303.9,313.1,1514,41.1,121,0,0,0,0,0,0,2790
5036,M19895,M,304,313.2,1500,40.6,124,0,0,0,0,0,0,2485
5037,L52216,L,304,313.2,1615,37.8,127,0,0,0,0,0,0,7613
5038,M19897,M,304.1,313.2,1586,41.1,129,0,0,0,0,0,0,3538
5039,L52218,L,304.1,313.3,1732,28.5,132,0,0,0,0,0,0,8403
5040,H34453,H,304.1,313.3,1689,32.5,134,0,0,0,0,0,0,8531
5041,H34454,H,304.1,313.2,1586,34.6,139,0,0,0,0,0,0,2602
5042,L52221,L,304,313.2,1314,47.1,144,0,0,0,0,0,0,8376
5043,L52222,L,304.1,313.2,1569,35.8,146,0,0,0,0,0,0,3155
5044,L52223,L,304.1,313.2,1468,39.4,148,0,0,0,0,0,0,7828
5045,L52224,L,304.1,313.2,1412,47.5,150,0,0,0,0,0,0,2825
5046,M19905,M,304.1,313.2,1510,46.9,152,0,0,0,0,0,0,6785
5047,M19906,M,304.1,313.2,1410,42.4,155,0,0,0,0,0,0,3607
5048,M19907,M,304.1,313.3,1680,29.3,158,0,0,0,0,0,0,7939
5049,H34462,H,304,313.2,1271,68.6,161,1,0,0,1,0,0,5432
5050,H34463,H,304,313.1,1472,45.5,166,0,0,0,0,0,0,6723
5051,H34464,H,304,313,1701,30.4,171,0,0,0,0,0,0,9793
5052,L52231,L,303.9,313,1480,39.9,176,0,0,0,0,0,0,436
5053,L52232,L,303.9,313,1433,48.4,178,0,0,0,0,0,0,2292
5054,L52233,L,303.8,312.9,1514,34.3,180,0,0,0,0,0,0,7062
5055,L52234,L,303.8,312.9,1619,35.7,182,0,0,0,0,0,0,6130
5056,H34469,H,303.8,312.9,1378,45.6,184,0,0,0,0,0,0,3666
5057,M19916,M,303.9,312.9,1430,53.5,189,0,0,0,0,0,0,4443
5058,L52237,L,303.8,312.9,1367,49.9,192,0,0,0,0,0,0,2393
5059,L52238,L,303.9,312.9,1526,42.5,194,0,0,0,0,0,0,9217
5060,L52239,L,303.9,312.8,1419,47.9,196,0,0,0,0,0,0,9992
5061,L52240,L,304,312.8,1542,42.7,198,0,0,0,0,0,0,3319
5062,L52241,L,304,312.9,1363,62.5,200,1,0,0,0,1,0,6374
5063,L52242,L,304,312.9,1313,53.9,202,0,0,0,0,0,0,3386
5064,H34477,H,304,312.9,1495,46.6,0,0,0,0,0,0,0,9047
5065,L52244,L,304,313,1407,42.1,5,0,0,0,0,0,0,3642
5066,L52245,L,304.1,313,1566,37.2,7,0,0,0,0,0,0,7279
5067,L52246,L,304.1,313.1,1550,30.9,9,0,0,0,0,0,0,9764
5068,M19927,M,304.2,313.2,1396,50.5,11,0,0,0,0,0,0,8770
5069,M19928,M,304.3,313.3,1540,39,14,0,0,0,0,0,0,7222
5070,M19929,M,304.2,313.2,1380,48.7,17,0,0,0,0,0,0,3700
5071,M19930,M,304.2,313.1,1608,31.1,20,0,0,0,0,0,0,318
5072,H34485,H,304.2,313,1442,40.9,23,0,0,0,0,0,0,2171
5073,L52252,L,304.1,313,1408,45.3,28,0,0,0,0,0,0,3571
5074,M19933,M,304,313,1454,46.8,30,0,0,0,0,0,0,8879
5075,L52254,L,304.1,313.1,1666,34.6,33,0,0,0,0,0,0,5907
5076,L52255,L,304.1,313.2,1366,46.6,35,0,0,0,0,0,0,6677
5077,L52256,L,304.2,313.2,1464,44.9,37,0,0,0,0,0,0,5390
5078,L52257,L,304.3,313.3,1775,24.9,39,0,0,0,0,0,0,8300
5079,M19938,M,304.3,313.4,1482,43.8,41,0,0,0,0,0,0,7485
5080,M19939,M,304.2,313.4,1411,54.8,44,0,0,0,0,0,0,3253
5081,L52260,L,304.2,313.3,1410,51.6,47,0,0,0,0,0,0,6854
5082,M19941,M,304.1,313.3,1494,39,49,0,0,0,0,0,0,2414
5083,H34496,H,304.1,313.2,1590,43.4,52,0,0,0,0,0,0,492
5084,L52263,L,304.1,313.1,1327,54.1,57,0,0,0,0,0,0,7181
5085,L52264,L,304.1,313.1,1969,20.8,59,0,0,0,0,0,0,6243
5086,M19945,M,304,313,1377,56,61,0,0,0,0,0,0,9398
5087,L52266,L,304,313,1541,45.9,64,0,0,0,0,0,0,5230
5088,M19947,M,304,313,1685,28.2,66,0,0,0,0,0,0,2655
5089,L52268,L,304,313.1,1465,41,69,0,0,0,0,0,0,1485
5090,M19949,M,303.9,313.1,1483,47.2,71,0,0,0,0,0,0,4200
5091,M19950,M,303.9,313.2,1570,40.7,74,0,0,0,0,0,0,472
5092,L52271,L,303.9,313.2,1345,48.2,77,0,0,0,0,0,0,6570
5093,M19952,M,303.9,313.2,1608,40.6,79,0,0,0,0,0,0,9025
5094,M19953,M,304,313.3,1415,52.8,82,0,0,0,0,0,0,7088
5095,M19954,M,304.1,313.5,1470,45.8,85,0,0,0,0,0,0,9703
5096,M19955,M,304.1,313.5,1428,39.9,88,0,0,0,0,0,0,6112
5097,H34510,H,304.2,313.5,1627,32.2,91,0,0,0,0,0,0,8868
5098,L52277,L,304.2,313.4,1457,49.4,96,0,0,0,0,0,0,8364
5099,L52278,L,304.2,313.4,1475,40.2,98,0,0,0,0,0,0,5771
5100,L52279,L,304.2,313.5,1438,50.1,100,0,0,0,0,0,0,469
5101,M19960,M,304.2,313.5,1437,47.2,102,0,0,0,0,0,0,1466
5102,M19961,M,304.1,313.4,1518,42.4,105,0,0,0,0,0,0,1894
5103,M19962,M,304.1,313.5,1587,33.6,108,0,0,0,0,0,0,6381
5104,L52283,L,304.1,313.4,1399,43.7,111,0,0,0,0,0,0,172
5105,L52284,L,304.1,313.5,1469,44.6,113,0,0,0,0,0,0,9236
5106,L52285,L,304.1,313.4,1374,56.6,115,0,0,0,0,0,0,1518
5107,L52286,L,304,313.3,1519,36.7,117,0,0,0,0,0,0,5102
5108,L52287,L,303.9,313.2,1540,44.4,119,0,0,0,0,0,0,6154
5109,L52288,L,303.9,313.3,1394,51.6,121,0,0,0,0,0,0,8304
5110,M19969,M,304,313.4,1389,45.8,123,0,0,0,0,0,0,8719
5111,M19970,M,304,313.5,1732,26.2,126,0,0,0,0,0,0,7284
5112,L52291,L,304.1,313.6,1556,37.4,129,0,0,0,0,0,0,3367
5113,M19972,M,304.1,313.6,1441,43.7,131,0,0,0,0,0,0,1096
5114,L52293,L,304.1,313.6,1382,46.7,134,0,0,0,0,0,0,3291
5115,M19974,M,304.2,313.8,1481,44.9,136,0,0,0,0,0,0,784
5116,M19975,M,304.2,313.7,2113,18.4,139,0,0,0,0,0,0,2068
5117,L52296,L,304.2,313.8,1401,53.9,142,0,0,0,0,0,0,7234
5118,L52297,L,304.1,313.6,1611,31.4,144,0,0,0,0,0,0,9261
5119,M19978,M,304.2,313.6,1512,33.4,146,0,0,0,0,0,0,3332
5120,L52299,L,304.2,313.6,1411,46,149,0,0,0,0,0,0,4102
5121,M19980,M,304.2,313.6,1424,43.7,151,0,0,0,0,0,0,8406
5122,L52301,L,304.2,313.6,1469,40,154,0,0,0,0,0,0,3743
5123,H34536,H,304.2,313.5,1684,29.8,156,0,0,0,0,0,0,3126
5124,M19983,M,304.2,313.5,1532,41.3,161,0,0,0,0,0,0,4119
5125,M19984,M,304.2,313.5,1557,37.3,164,0,0,0,0,0,0,266
5126,M19985,M,304.3,313.5,1416,48.1,167,0,0,0,0,0,0,6511
5127,L52306,L,304.3,313.5,1802,25.4,170,0,0,0,0,0,0,4228
5128,M19987,M,304.3,313.5,2245,15.1,172,0,0,0,0,0,0,4493
5129,L52308,L,304.2,313.4,1434,42.5,175,0,0,0,0,0,0,890
5130,M19989,M,304.1,313.3,1725,28.3,177,0,0,0,0,0,0,7424
5131,L52310,L,304.2,313.3,1668,35.7,180,0,0,0,0,0,0,3861
5132,L52311,L,304.1,313.3,1452,43.9,182,0,0,0,0,0,0,3397
5133,L52312,L,304.1,313.3,1415,50,184,0,0,0,0,0,0,2225
5134,L52313,L,304.1,313.2,1824,25.8,186,0,0,0,0,0,0,5305
5135,L52314,L,304.1,313.3,1438,45.5,188,0,0,0,0,0,0,5658
5136,L52315,L,304.1,313.3,1883,24.5,190,0,0,0,0,0,0,6618
5137,L52316,L,304.2,313.4,1735,28.9,192,0,0,0,0,0,0,462
5138,L52317,L,304.3,313.5,1464,36.7,194,0,0,0,0,0,0,5951
5139,M19998,M,304.3,313.6,1489,40.3,196,0,0,0,0,0,0,8552
5140,M19999,M,304.4,313.6,1510,38.9,199,0,0,0,0,0,0,5868
5141,M20000,M,304.3,313.6,1585,32.1,202,0,0,0,0,0,0,1507
5142,L52321,L,304.4,313.7,1509,35,205,1,1,0,0,0,0,2567
5143,L52322,L,304.4,313.6,1568,39.1,0,0,0,0,0,0,0,2025
5144,M20003,M,304.3,313.5,1525,42,2,0,0,0,0,0,0,2810
5145,L52324,L,304.4,313.7,1607,33.5,5,0,0,0,0,0,0,2408
5146,L52325,L,304.5,313.7,1670,32.9,7,0,0,0,0,0,0,440
5147,L52326,L,304.4,313.6,1585,38.9,9,0,0,0,0,0,0,5804
5148,L52327,L,304.4,313.6,1569,38.4,11,0,0,0,0,0,0,9057
5149,L52328,L,304.4,313.6,1507,43.1,13,0,0,0,0,0,0,988
5150,L52329,L,304.3,313.5,1452,41.5,15,0,0,0,0,0,0,3736
5151,L52330,L,304.3,313.5,1590,29.8,17,0,0,0,0,0,0,6129
5152,L52331,L,304.3,313.6,1409,56,19,0,0,0,0,0,0,6120
5153,L52332,L,304.3,313.5,2643,12.7,21,0,0,0,0,0,0,2594
5154,L52333,L,304.2,313.4,1644,31.7,23,0,0,0,0,0,0,7678
5155,L52334,L,304.2,313.4,1568,37.6,25,0,0,0,0,0,0,1066
5156,H34569,H,304.2,313.3,1625,37.3,27,0,0,0,0,0,0,9549
5157,L52336,L,304.2,313.4,1482,41.4,32,0,0,0,0,0,0,121
5158,H34571,H,304.1,313.3,1397,49.6,34,0,0,0,0,0,0,3072
5159,L52338,L,304.1,313.3,1459,50.3,39,0,0,0,0,0,0,2112
5160,L52339,L,304.2,313.4,1490,44,41,0,0,0,0,0,0,3270
5161,L52340,L,304.1,313.2,1434,50.1,43,0,0,0,0,0,0,9528
5162,M20021,M,304.1,313.2,2028,18.9,45,0,0,0,0,0,0,514
5163,L52342,L,304.2,313.3,1464,45.9,48,0,0,0,0,0,0,114
5164,M20023,M,304.2,313.4,1713,23.5,50,0,0,0,0,0,0,3152
5165,M20024,M,304.3,313.4,1624,32.1,53,0,0,0,0,0,0,6999
5166,L52345,L,304.2,313.4,1421,43.4,56,0,0,0,0,0,0,7289
5167,H34580,H,304.2,313.5,1546,41.4,58,0,0,0,0,0,0,1733
5168,L52347,L,304.2,313.4,1639,32.7,63,0,0,0,0,0,0,8002
5169,H34582,H,304.1,313.4,1696,29.6,65,0,0,0,0,0,0,1493
5170,L52349,L,304.1,313.3,1470,39.9,70,0,0,0,0,0,0,2029
5171,M20030,M,304.1,313.3,1480,38.4,72,0,0,0,0,0,0,7714
5172,M20031,M,304.2,313.4,1329,54.5,75,0,0,0,0,0,0,6622
5173,L52352,L,304.2,313.4,1740,28.2,78,0,0,0,0,0,0,6973
5174,M20033,M,304.2,313.5,1739,28.1,80,0,0,0,0,0,0,9292
5175,M20034,M,304.2,313.5,1390,47.8,83,0,0,0,0,0,0,3410
5176,L52355,L,304.2,313.4,1740,23.7,86,0,0,0,0,0,0,227
5177,M20036,M,304,313.3,1844,27.1,88,0,0,0,0,0,0,6181
5178,H34591,H,304,313.1,1388,53.2,91,0,0,0,0,0,0,9456
5179,H34592,H,304,313.2,1517,43.1,96,0,0,0,0,0,0,4477
5180,M20039,M,304,313.1,1450,42.8,101,0,0,0,0,0,0,231
5181,L52360,L,304,313.2,1584,38.7,104,0,0,0,0,0,0,9431
5182,L52361,L,304,313.1,1720,28.7,106,0,0,0,0,0,0,5386
5183,L52362,L,303.9,313.1,1586,31.9,108,0,0,0,0,0,0,339
5184,M20043,M,303.9,313,1901,22.5,110,0,0,0,0,0,0,6881
5185,L52364,L,304,313,1397,42.4,113,0,0,0,0,0,0,8764
5186,L52365,L,304,313,2012,21.1,115,0,0,0,0,0,0,5094
5187,L52366,L,304,313,2354,15,117,0,0,0,0,0,0,3750
5188,L52367,L,304,313.1,1648,35.7,119,0,0,0,0,0,0,6734
5189,L52368,L,304,313.2,1632,30.6,121,0,0,0,0,0,0,7355
5190,M20049,M,304.1,313.2,1427,46.9,123,0,0,0,0,0,0,7597
5191,L52370,L,304.1,313.2,1452,48,126,0,0,0,0,0,0,1141
5192,L52371,L,304,313.2,1416,46,128,0,0,0,0,0,0,479
5193,L52372,L,303.9,313.1,1310,62.9,130,0,0,0,0,0,0,6094
5194,H34607,H,304,313.1,1408,39.8,132,0,0,0,0,0,0,3080
5195,M20054,M,303.9,313.1,1668,34.4,137,0,0,0,0,0,0,9761
5196,L52375,L,303.9,313,1551,36.8,140,0,0,0,0,0,0,694
5197,H34610,H,303.9,313,1517,36,142,0,0,0,0,0,0,2511
5198,H34611,H,303.8,312.9,1570,35.8,147,0,0,0,0,0,0,8249
5199,L52378,L,303.8,312.8,1428,53.3,152,0,0,0,0,0,0,3971
5200,L52379,L,303.8,312.8,1503,40,154,0,0,0,0,0,0,822
5201,L52380,L,303.8,312.8,1416,58.7,156,0,0,0,0,0,0,8581
5202,M20061,M,303.7,312.7,1396,47.3,158,0,0,0,0,0,0,5151
5203,L52382,L,303.7,312.7,1335,51.1,161,0,0,0,0,0,0,7589
5204,M20063,M,303.7,312.6,1671,30.5,163,0,0,0,0,0,0,7866
5205,L52384,L,303.7,312.7,1989,22.4,166,0,0,0,0,0,0,9303
5206,L52385,L,303.7,312.7,1468,43.3,168,0,0,0,0,0,0,2529
5207,H34620,H,303.7,312.6,1711,27.6,170,0,0,0,0,0,0,8112
5208,M20067,M,303.8,312.7,1488,41.3,175,0,0,0,0,0,0,6804
5209,L52388,L,303.8,312.7,1664,29.3,178,0,0,0,0,0,0,2353
5210,M20069,M,303.8,312.7,1507,38.5,180,0,0,0,0,0,0,6893
5211,L52390,L,303.7,312.6,1466,42.5,183,0,0,0,0,0,0,8671
5212,L52391,L,303.7,312.5,1433,53.6,185,0,0,0,0,0,0,3917
5213,L52392,L,303.7,312.5,1397,45.7,187,0,0,0,0,0,0,7794
5214,M20073,M,303.7,312.6,1429,43.3,189,0,0,0,0,0,0,5276
5215,L52394,L,303.7,312.7,1572,37.2,192,0,0,0,0,0,0,2970
5216,M20075,M,303.7,312.7,1532,42.7,194,0,0,0,0,0,0,3447
5217,M20076,M,303.7,312.7,1316,51.8,197,0,0,0,0,0,0,4959
5218,M20077,M,303.8,312.8,1420,47.9,200,0,0,0,0,0,0,8931
5219,L52398,L,303.8,312.9,1589,37.2,203,0,0,0,0,0,0,6083
5220,L52399,L,303.8,313,1365,59.9,205,1,0,0,0,1,0,7355
5221,L52400,L,303.8,313,1633,32.9,207,0,0,0,0,0,0,9498
5222,L52401,L,303.9,313,1626,31.4,209,0,0,0,0,0,0,1908
5223,L52402,L,303.9,313.1,1665,29.6,0,0,0,0,0,0,0,4464
5224,M20083,M,303.9,313.2,1350,47.2,2,0,0,0,0,0,0,8137
5225,L52404,L,303.9,313.2,1590,31.9,5,0,0,0,0,0,0,6668
5226,M20085,M,304,313.2,1437,53.9,7,0,0,0,0,0,0,6914
5227,L52406,L,303.9,313,1403,48.3,10,0,0,0,0,0,0,4907
5228,L52407,L,303.9,313.1,1440,41.1,12,0,0,0,0,0,0,1917
5229,M20088,M,303.9,313.1,1343,61.4,14,0,0,0,0,0,0,3695
5230,H34643,H,303.9,313.1,1790,26.7,17,0,0,0,0,0,0,4803
5231,M20090,M,303.8,313.1,2117,18.6,22,0,0,0,0,0,0,2137
5232,L52411,L,303.8,313.1,1458,42.2,25,0,0,0,0,0,0,3267
5233,L52412,L,303.6,312.9,1381,57.8,27,0,0,0,0,0,0,4789
5234,L52413,L,303.6,312.9,1450,45.3,29,0,0,0,0,0,0,2305
5235,L52414,L,303.7,312.9,1461,50.1,31,0,0,0,0,0,0,1638
5236,M20095,M,303.7,312.9,1511,41,33,0,0,0,0,0,0,3863
5237,L52416,L,303.8,313.1,1394,45.4,36,0,0,0,0,0,0,1195
5238,L52417,L,303.8,313,1499,42.3,38,0,0,0,0,0,0,9869
5239,L52418,L,303.7,313,1457,44.1,40,0,0,0,0,0,0,9610
5240,L52419,L,303.7,313,1753,29,42,0,0,0,0,0,0,396
5241,L52420,L,303.7,313,1694,28,44,0,0,0,0,0,0,6548
5242,L52421,L,303.7,313.1,1683,28.4,46,0,0,0,0,0,0,2290
5243,L52422,L,303.7,313.1,1496,47.4,48,0,0,0,0,0,0,5880
5244,L52423,L,303.7,313.1,1721,34.8,50,0,0,0,0,0,0,247
5245,L52424,L,303.6,313,1593,31.6,52,0,0,0,0,0,0,6251
5246,L52425,L,303.6,313,1575,38.3,54,0,0,0,0,0,0,8968
5247,L52426,L,303.5,313,1465,41,56,0,0,0,0,0,0,9926
5248,L52427,L,303.6,313.1,1405,38.3,58,0,0,0,0,0,0,4900
5249,M20108,M,303.5,313,1902,21.6,60,0,0,0,0,0,0,3356
5250,M20109,M,303.4,312.9,1422,39.9,63,0,0,0,0,0,0,3639
5251,L52430,L,303.5,312.9,1332,52.9,66,0,0,0,0,0,0,4167
5252,M20111,M,303.4,312.9,1307,54.3,68,0,0,0,0,0,0,5955
5253,L52432,L,303.5,313,1322,59.5,71,0,0,0,0,0,0,8300
5254,L52433,L,303.5,313,1547,40.3,73,0,0,0,0,0,0,2504
5255,L52434,L,303.5,313.1,1897,23.6,75,0,0,0,0,0,0,3812
5256,M20115,M,303.5,313,1403,51.9,77,0,0,0,0,0,0,4505
5257,L52436,L,303.5,313,1393,51.6,80,0,0,0,0,0,0,6511
5258,L52437,L,303.5,313,1482,38.5,82,0,0,0,0,0,0,9898
5259,M20118,M,303.5,312.9,1572,44.7,84,0,0,0,0,0,0,1879
5260,L52439,L,303.5,312.9,1544,36.9,87,0,0,0,0,0,0,8457
5261,M20120,M,303.5,313,1492,46.1,89,0,0,0,0,0,0,5620
5262,L52441,L,303.4,312.8,1513,35.8,92,0,0,0,0,0,0,3953
5263,L52442,L,303.4,312.8,1449,43.9,94,0,0,0,0,0,0,9049
5264,L52443,L,303.5,312.8,1877,22.3,96,0,0,0,0,0,0,5534
5265,L52444,L,303.4,312.8,1376,53.4,98,0,0,0,0,0,0,6954
5266,M20125,M,303.5,312.9,1883,23.3,100,0,0,0,0,0,0,9981
5267,M20126,M,303.4,312.8,1518,38.7,103,0,0,0,0,0,0,549
5268,M20127,M,303.5,312.9,1438,42.8,106,0,0,0,0,0,0,8697
5269,L52448,L,303.4,312.9,1389,54.1,109,0,0,0,0,0,0,840
5270,L52449,L,303.5,312.9,1504,44.8,111,0,0,0,0,0,0,9236
5271,L52450,L,303.5,312.9,1275,64.4,113,0,0,0,0,0,0,4538
5272,L52451,L,303.6,313,1534,39.7,115,0,0,0,0,0,0,894
5273,M20132,M,303.6,313,1396,38.2,117,0,0,0,0,0,0,9187
5274,L52453,L,303.6,313.1,1395,44.1,120,0,0,0,0,0,0,1621
5275,L52454,L,303.6,313,1617,30.9,122,0,0,0,0,0,0,6927
5276,L52455,L,303.7,313.1,1423,41.2,124,0,0,0,0,0,0,2776
5277,L52456,L,303.5,313,1606,34,126,0,0,0,0,0,0,3472
5278,L52457,L,303.5,312.9,1501,44,128,0,0,0,0,0,0,1223
5279,M20138,M,303.5,312.9,1618,30.4,130,0,0,0,0,0,0,2231
5280,L52459,L,303.6,313,1522,35.8,133,0,0,0,0,0,0,8133
5281,L52460,L,303.6,312.9,1480,41.4,135,0,0,0,0,0,0,608
5282,M20141,M,303.7,313,1469,39.9,137,0,0,0,0,0,0,2597
5283,H34696,H,303.8,313.2,1381,52.4,140,0,0,0,0,0,0,9291
5284,L52463,L,303.8,313.2,1525,41.9,145,0,0,0,0,0,0,9693
5285,M20144,M,303.8,313.2,1732,29.6,147,0,0,0,0,0,0,3461
5286,L52465,L,303.8,313.1,1523,39.8,150,0,0,0,0,0,0,6483
5287,L52466,L,303.8,313.1,1422,42.4,152,0,0,0,0,0,0,796
5288,H34701,H,303.8,313.2,1506,46.9,154,0,0,0,0,0,0,7117
5289,L52468,L,303.8,313.2,1531,39.4,159,0,0,0,0,0,0,2945
5290,M20149,M,303.9,313.3,1507,34.3,161,0,0,0,0,0,0,4304
5291,L52470,L,303.9,313.3,1526,40.7,164,0,0,0,0,0,0,975
5292,L52471,L,303.8,313.3,1406,52.1,166,0,0,0,0,0,0,8338
5293,M20152,M,303.9,313.3,1567,35,168,0,0,0,0,0,0,4690
5294,M20153,M,303.9,313.4,1464,49.1,171,0,0,0,0,0,0,3342
